Domain,IP,Status,Subject,Issuer,ValidTo
amazon.accountant,3.71.139.153,TLS ERROR,,,
amazon.ac,3.126.5.188,TLS ERROR,,,
amazon.accountants,3.126.5.188,TLS ERROR,,,
amazon.actor,18.185.24.46,TLS ERROR,,,
amazon.academy,18.185.24.46,TLS ERROR,,,
amazon.ad,3.126.5.188,TLS ERROR,,,
amazon.ae,52.95.113.159,OK,www.amazon.ae,Amazon RSA 2048 M01,2025-08-12
amazon.agency,3.71.139.153,TLS ERROR,,,
amazon.airforce,3.71.139.153,TLS ERROR,,,
amazon.af,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.al,3.71.139.153,TLS ERROR,,,
amazon.ag,15.197.140.28,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.alsace,3.71.139.153,TLS ERROR,,,
amazon.ai,15.197.140.28,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.apartments,18.185.24.46,TLS ERROR,,,
amazon.amsterdam,3.126.5.188,TLS ERROR,,,
amazon.am,15.197.192.1,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.associates,3.71.139.153,TLS ERROR,,,
amazon.army,3.126.5.188,TLS ERROR,,,
amazon.archi,18.185.24.46,TLS ERROR,,,
amazon.art,3.126.5.188,TLS ERROR,,,
amazon.as,15.197.140.28,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.at,52.95.116.34,OK,www.amazon.at,Amazon RSA 2048 M01,2025-10-11
amazon.auction,3.126.5.188,TLS ERROR,,,
amazon.attorney,3.71.139.153,TLS ERROR,,,
amazon.audio,18.185.24.46,TLS ERROR,,,
amazon.auto,18.185.24.46,TLS ERROR,,,
amazon.autos,18.185.24.46,TLS ERROR,,,
amazon.aw,18.185.24.46,TLS ERROR,,,
amazon.barcelona,18.185.24.46,TLS ERROR,,,
amazon.ba,3.33.230.83,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.baby,18.185.24.46,TLS ERROR,,,
amazon.az,15.197.192.1,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.bar,3.71.139.153,TLS ERROR,,,
amazon.band,3.126.5.188,TLS ERROR,,,
amazon.bayern,18.185.24.46,TLS ERROR,,,
amazon.bargains,18.185.24.46,TLS ERROR,,,
amazon.basketball,3.71.139.153,TLS ERROR,,,
amazon.be,5.100.156.0,OK,tls.automattic.com,E5,2025-06-24
amazon.beer,18.185.24.46,TLS ERROR,,,
amazon.beauty,3.126.5.188,TLS ERROR,,,
amazon.berlin,18.185.24.46,TLS ERROR,,,
amazon.best,3.71.139.153,TLS ERROR,,,
amazon.bike,3.126.5.188,TLS ERROR,,,
amazon.bet,3.126.5.188,TLS ERROR,,,
amazon.bf,18.185.24.46,TLS ERROR,,,
amazon.bb,3.33.147.88,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.black,3.126.5.188,TLS ERROR,,,
amazon.bid,3.126.5.188,TLS ERROR,,,
amazon.bible,18.185.24.46,TLS ERROR,,,
amazon.bg,3.33.230.83,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.bingo,18.185.24.46,TLS ERROR,,,
amazon.bio,3.126.5.188,TLS ERROR,,,
amazon.bj,3.126.5.188,TLS ERROR,,,
amazon.blackfriday,3.71.139.153,TLS ERROR,,,
amazon.boats,18.185.24.46,TLS ERROR,,,
amazon.bi,35.71.184.76,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.bo,3.71.139.153,TLS ERROR,,,
amazon.biz,52.223.38.30,OK,ammzon.com,Amazon RSA 2048 M02,2025-11-25
amazon.blog,3.33.131.74,OK,amazon.blog,Amazon RSA 2048 M02,2026-04-15
amazon.bot,3.71.139.153,TLS ERROR,,,
amazon.boston,3.126.5.188,TLS ERROR,,,
amazon.boutique,3.126.5.188,TLS ERROR,,,
amazon.build,3.71.139.153,TLS ERROR,,,
amazon.buzz,64.190.63.222,OK,amazon.buzz,Encryption Everywhere DV TLS CA - G2,2026-04-20
amazon.cafe,3.126.5.188,TLS ERROR,,,
amazon.bzh,18.185.24.46,TLS ERROR,,,
amazon.bs,3.33.147.88,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.ca,54.239.19.238,OK,*.bx.peg.a2z.com,Amazon RSA 2048 M01,2026-02-03
amazon.camp,3.71.139.153,TLS ERROR,,,
amazon.capital,3.71.139.153,TLS ERROR,,,
amazon.capetown,18.185.24.46,TLS ERROR,,,
amazon.car,18.185.24.46,TLS ERROR,,,
amazon.career,18.185.24.46,TLS ERROR,,,
amazon.careers,3.126.5.188,TLS ERROR,,,
amazon.cars,18.185.24.46,TLS ERROR,,,
amazon.casa,3.71.139.153,TLS ERROR,,,
amazon.case,3.126.5.188,TLS ERROR,,,
amazon.by,93.125.99.144,OK,www.amazon.by,R11,2025-07-11
amazon.brussels,3.71.139.153,TLS ERROR,,,
amazon.catering,18.185.24.46,TLS ERROR,,,
amazon.casino,3.71.139.153,TLS ERROR,,,
amazon.bz,3.33.147.88,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.center,3.126.5.188,TLS ERROR,,,
amazon.cf,18.185.24.46,TLS ERROR,,,
amazon.charity,18.185.24.46,TLS ERROR,,,
amazon.cc,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.christmas,18.185.24.46,TLS ERROR,,,
amazon.chat,3.126.5.188,TLS ERROR,,,
amazon.cg,52.223.38.30,OK,www.amazonmembers.com,Amazon RSA 2048 M02,2025-11-25
amazon.cheap,3.126.5.188,TLS ERROR,,,
amazon.church,3.126.5.188,TLS ERROR,,,
